# WINGS                 Weights     Bar   SFR1        SFR2                    SFR3                    SFR4        logM                 M1                     M2                     M3                      M4                      Mtotal                  F1                      F2                      F3                      F4                     Mtype                 
  J004305.04-095110.3   2.3868172   1.0   0.054778    0.20456786083060666     0.11075168665830601     0.011378    9.204038619995117    1095560.0              1.1660368067344579E8   8.306376499372951E8     1.53603E8               1.101939890610741E9     9.942103097772376E-4    0.10581673434911153     0.7537957896023904      0.13939326573872085    1.2000000476837158    
  J004228.37-094938.3   1.8900305   0.0   0.053563    0.6923762440217546      0.00866915685896199     0.05136     9.455241203308105    1071260.0              3.946544590924001E8    6.501867644221493E7     6.933600000000001E8     1.154104395534615E9     9.282175894527817E-4    0.34195733125995464     0.05633691084946988     0.6007775403011227     -1.899999976158142    
  J004221.89-094922.6   1.8900305   1.0   0.0         0.025212497843500305    0.136679010225738       0.069759    9.706156730651855    0.0                    1.4371123770795174E7   1.025092576693035E9     9.417465E8              1.9812102004638302E9    0.0                     0.0072537097615541675   0.517407277861302       0.4753390123771437     1.2000000476837158    
  J004240.33-094416.7   1.5823511   1.0   0.0         0.03151967158771487     0.18240038105344394     0.22564     10.126848220825195   0.0                    1.7966212804997474E7   1.3680028579008296E9    3.0461400000000005E9    4.432109070705828E9     0.0                     0.0040536486170310556   0.3086573087613502      0.6872890426216187     0.0                   
  J004330.48-094359.4   1.9982655   0.0   0.18577     0.09062857876408965     0.06546536658306        0.6997      10.265412330627441   3715400.0              5.16582898955311E7     4.9099024937295E8       9.44595E9               9.99231393926848E9      3.7182578755847194E-4   0.005169802531175568    0.0491367917738676      0.9453215799073984     -1.100000023841858    
  J004027.53-094312.4   1.5823511   1.0   0.0         0.15682313271252538     0.18851806868608914     2.3005      10.856414794921875   0.0                    8.938918564613947E7    1.4138855151456685E9    3.105675E10             3.256002470079181E10    0.0                     0.002745366026825086    0.043423969365455825    0.953830664607719      -2.0                  
  J004210.13-093956.7   1.6750419   0.0   0.0         0.023558089210897054    0.0708863684159753      0.16277     9.751174926757812    0.0                    1.342811085021132E7    5.3164776311981475E8    2.197395E9              2.742470873970026E9     0.0                     0.004896354954090238    0.19385721400577596     0.8012464310401338     -2.299999952316284    
  J004311.59-093816.1   1.5649452   1.0   0.13569     0.03473865793333978     0.6017894983600232      0.68336     10.793692588806152   2713800.0              1.9801035022003673E7   4.513421237700173E9     9.22536E9               1.3761296072722178E10   1.9720526218306792E-4   0.0014388931767301734   0.32797937155401635     0.6703845300070703     1.7000000476837158    
  J004218.48-093912.5   1.6750419   1.0   0.34691     0.42246915776346045     0.10855886552189851     0.14378     9.777643203735352    6938200.0              2.4080741992517248E8   8.141914914142388E8     1.9410299999999998E9    3.002967111339411E9     0.0023104482143014083   0.08018982925782539     0.2711290071542228      0.6463707153736505     3.0999999046325684    
  J004153.43-093845.7   2.0229974   0.0   0.11476     0.3616679462490776      0.01237952537140652     0.011491    9.094918251037598    2295200.0              2.0615072936197424E8   9.284644028554891E7     1.551285E8              4.5642086964752316E8    0.005028692052956512    0.45166806136883436     0.2034228635453299      0.3398803830328792     1.100000023841858     
  J004308.10-093444.6   1.6750419   1.0   0.1504      0.002463229891714904    0.06341741558942697     0.15489     9.871962547302246    3008000.0              1404041.0382774952     4.756306169207023E8     2.091015E9              2.5710576579589796E9    0.00116994653569453     5.460947302878014E-4    0.18499414645499593     0.8132898122790219     2.5                   
  J004149.11-092902.6   1.6920474   1.0   0.0         0.0396498036856959      0.5078854549006367      0.5843      10.219755172729492   0.0                    2.2600388100846663E7   3.8091409117547755E9    7.888050000000001E9     1.1719791299855623E10   0.0                     0.0019283950987356814   0.32501781083778347     0.6730537940634809     -2.0                  
  J004144.42-092624.7   1.6920474   0.0   0.0         0.0646267949540179      0.13350294231140267     0.15123     10.292325019836426   0.0                    3.68372731237902E7     1.00127206733552E9      2.041605E9              3.07971434045931E9      0.0                     0.011961262978142404    0.3251184871861167      0.6629202498357409     -0.30000001192092896  
  J003959.11-092604.0   1.5649452   1.0   0.034981    0.022406268272043145    0.17362887179239822     0.053994    9.671823501586914    699619.9999999999      1.2771572915064592E7   1.3022165384429867E9    7.28919E8               2.0446067313580513E9    3.4217827285313896E-4   0.006246469171399806    0.6369031845933715      0.35650816796237567    0.4000000059604645    
  J004139.42-092452.5   1.7108669   1.0   0.0         0.0427129536789611      0.1587641906231912      1.7737      10.785909652709961   0.0                    2.4346383597007826E7   1.190731429673934E9     2.3944950000000004E10   2.5160027813270947E10   0.0                     9.676612354206558E-4    0.047326316111855365    0.951706022652724      -0.30000001192092896  
